claim_id,description
1,"While backing out of a crowded mall parking lot, I accidentally hit a concrete pole that was difficult to see due to which my rear side of the car is dented."
2,"During a weekend family trip, a pipe burst in the upstairs bathroom and water leaked into the living room below, damaging furniture and flooring."
3,A delivery boy claims he twisted his ankle after stepping into a pothole in the parking area of my business property.
4,I reported my motorcycle theft three days ago and still have not received any guidance on the next steps. I need help urgently.
5,"Strong winds blew part of my backyard shed onto my neighbor's garden, damaging several decorative items."
6,"While my dog was being walked by a family member, it knocked over a cyclist who is now requesting compensation for medical expenses."
7,Someone scraped the side of my parked vehicle overnight. I am frustrated because this is the second incident this year and there were no witnesses.
8,"An electrical surge after a power outage damaged several appliances in my home, including the refrigerator and washing machine."
9,The contractor working on my house accidentally cracked a window belonging to the property next door. The neighbor has threatened to take legal action if the matter is not resolved.
10,"After a severe storm, I discovered damage to both my detached garage and the vehicle parked inside it. I am unsure which coverage applies."
